Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
crate,master,3247cc6e48a2d4da79bf8aa4ca77d750af5e164a,6.1,1974dab17d6a3bc331291d0ed075e04a2deaef4a,2026-01-07 13:08:38+00:00,TYPE-II
crate,master,4f42b38d70b18e2b3c1d760e4f406c00b163c465,6.1,c08290ccf4521eabe33d32c5f146aedcf167dbdf,2026-01-07 11:10:44+00:00,TYPE-I
crate,master,834640ed7b3fee5d11a6433ee42ef66115e5f316,6.1,2c1210da4dc9e2ff29f8d6781b2c32e03ab49eae,2026-01-07 08:47:06+00:00,TYPE-I
crate,master,e17bd286fd9fb7fe8904fdfaf5010b6ba28b3083,6.1,0315d0425bf3ba0cb4059e61bfacb6ddf135d428,2025-12-16 11:44:14+00:00,TYPE-II
crate,master,607d738b93ecc8ea82e38cc5c6aef2ca0e6d9f4e,6.1,6cf83ccbc8d94dde3bbfb3af0039ec8bf2bba61e,2025-12-09 16:39:40+00:00,TYPE-I
crate,master,d31bd126c49b8283fa5a28b6ec90099024bedef1,6.1,418f2f245aec87d96ba287b00e2dd590560c9e27,2025-12-04 17:25:59+00:00,TYPE-I
crate,master,a2f572fc480380b3c2d17fd3b5e436e759723c19,5.10,c0d5e58eb817a0ed54aab1d9e52c68ae4ac7f73e,2025-11-18 12:36:01+00:00,TYPE-I
crate,master,6a47f8482c7f059e7b465ee36edc41bf7048bd70,6.1,90e76c3908c298ab85a6531759c55da852b0f29b,2025-11-18 08:36:47+00:00,TYPE-I
crate,master,ad747ce7703ff4a4d3522fd9d79f5c7f265147b5,6.1,abd54b04256f814a3f5df17fb21d2e9826db79eb,2025-11-18 07:00:22+00:00,TYPE-I
crate,master,bc477183cadc3343e449651fcfeae86dd6c6fbc6,6.1,2dc7eb4aaab286327d3e0069a1a446b17c9be026,2025-11-17 14:25:17+00:00,TYPE-I
crate,master,876fdd0e4b9a55df92ef565f4a0b4227e354a70a,6.1,a2198d2484eb83b7f2821e52adb2a51eada92b09,2025-11-12 13:27:05+00:00,TYPE-I
crate,master,091d3a3d551f92a57f2c1ab729b1946fddfc43d3,6.1,94d0e18a1d9fd2f899e48815c66a790b9466603a,2025-11-11 07:40:03+00:00,TYPE-V
crate,master,9879c7e2b526903252e3fb761658fc893022918c,6.1,9ad6785dded889401671a1679d4c154695df85bc,2025-11-10 09:38:00+00:00,TYPE-II
crate,master,2414401337b6b12b3392502285257bd1913c27b9,6.1,7d4bde801d2628e3e8ba8e5cebaca3e4afd5265d,2025-11-07 08:51:04+00:00,TYPE-I
crate,master,a9199b9f781a9db3a49c1a8341e6837d63ed7980,5.10,729957bc6228bd6bb87f428a830c34238628cdd8,2025-10-30 11:44:39+00:00,TYPE-II
crate,master,43de35c74ab4d625c289f68a66197c21e923f550,5.10,b90a7a24c6d910e9cf87055c07169644bc47e858,2025-10-29 16:04:38+00:00,TYPE-I
crate,master,f110187717d7d702d7f16abdf9bced3a62a5d90e,6.0,ee82e9c66ddd5cc1474ef91801693b5849b92b96,2025-10-28 14:43:07+00:00,TYPE-II
crate,master,a5b58411425101903763df8df41237801652ca8b,6.0,85b3c8adb1a8c2dc24188862e5f9fec4b5b0620a,2025-10-28 06:40:51+00:00,TYPE-V
crate,master,114e47c51d454af27064a2e9b2af0bb94f590026,6.1,eec83a184b28a99a880e89dd2c0307ca3dad8d33,2025-10-22 13:37:25+00:00,TYPE-I
crate,master,e45819fd5822dca162ef9adf7710ea40f73d1745,6.1,15775bcd8b428c6ad364254a2e83872cfc4733e0,2025-10-21 17:58:00+00:00,TYPE-I
crate,master,ad91e3aaffbfd5bff986593c3c57c89f0b52425a,6.1,ed7e7467f9c9883784e7d44558cb95ea69eea74c,2025-10-21 12:03:17+00:00,TYPE-I
crate,master,897cc0651cf51d8c520fba0cbadcfa4a5009bc07,6.0,a735d95e81af2d67af2a23ac3279b0d4b403f266,2025-10-16 19:02:39+00:00,TYPE-I
crate,master,2a9a9fb6a4f094adabe3601000407898978ffa8a,6.0,1db907e14d46033bfe3acbffe9c741d0db1a054a,2025-10-13 05:46:09+00:00,TYPE-I
crate,master,0e0dd739ac60fb9db95be668067d2630a72db71c,6.0,9418466aa40f3d12d37af40fe1b33ef6213a4d8c,2025-10-02 22:52:54+00:00,TYPE-II
crate,master,fb594fd1890034181af9696e97184ef0ba2ae000,6.0,99336f5c40c8769e17db257376d708fcbf183b60,2025-09-30 17:19:43+00:00,TYPE-II
crate,master,ffeaa8be341dc98fcd4a30f3b6be8df9ae8b5dcf,6.0,103e4306acc1674229c3b6fd2eb38a2c0e14a3f9,2025-09-29 10:24:08+00:00,TYPE-I
crate,master,e7228911f64b3a3a8376e95dc258c845d76cef61,6.0,af79a03f61f8e5260c58093b213e0a66aac0d2e9,2025-09-24 08:12:00+00:00,TYPE-I
crate,master,d95ae1e55eea54e273f47a25b3514b6da52faa9e,5.10,c717f1504838a6d6b00fbb3a42084f0ee9809293,2025-09-23 05:50:39+00:00,TYPE-I
crate,master,68e693a5030ae906ff80ab11903e6e8711f9b893,5.10,3a7f35461c9b68648bd42d9ce9f8ce8d3b567058,2025-09-18 16:06:49+00:00,TYPE-II
crate,master,5afcf36990a94941c8fe4909953c5ed3bb5981cd,5.10,8998913dfc61ead7ecf4b89e051aa9907d984b1d,2025-09-16 07:14:56+00:00,TYPE-I
crate,master,0ec94296803b0265f30cd2c039781069c10fba5e,6.0,89dd62899e80c0f7de9820abe22a32b388ab4dac,2025-09-03 16:26:27+00:00,TYPE-II
crate,master,422c9d48ae8aee46e0e7550e26d8d326cfa6468d,5.10,d17ad1dfa72d576ede22aa9bf792dac6d291079d,2025-08-26 17:30:54+00:00,TYPE-I
crate,master,30abc0f980778976840a80436d746fd445fd3e26,5.10,e600023e45b8dbf065d33c4e930c9a212d71365a,2025-08-09 15:06:01+00:00,TYPE-V
crate,master,7e4bc7e9a73d300f97e6905fec14412bf3cd15a2,6.0,7bb9c7a1434d39a7d1bead8f1b31d1313ac27e06,2025-08-07 14:25:49+00:00,TYPE-I
crate,master,b9c42c9bbc08a39b51c7205a98da6972b56ce612,5.10,e01a59319d802383fe4193c04cc0afce9d0c8d9a,2025-08-04 16:35:28+00:00,TYPE-V
crate,master,c7702f1de3a49bfa1b25d522792fa365c8570b8c,6.0,ec29714076de24f7280f61ccde3eb5e8ae69099e,2025-07-21 15:20:37+00:00,TYPE-I
crate,master,d555d31dd8c2ba07fdf04439a644bb2f99f79416,5.10,dfb822a63738eaac98f4e239cdb3ac1fc230d483,2025-07-08 15:15:49+00:00,TYPE-I
crate,master,3c5e054f07eb7f1a431a6c29766873a12aee5436,5.10,1167b1ff0671151fccec1ac0914bcc0b8bd436f4,2025-07-07 14:36:00+00:00,TYPE-I
crate,master,fe2b6ad7429fcb7e909d2f2007b1b0ed66814322,5.10,62e69b530a0ae95f724b7004f17468bfcfb510cd,2025-06-27 12:44:59+00:00,TYPE-I
crate,master,0ce13db97eee63f04f07a9823e956a451ed7b9af,5.10,0901a6f909f62b1ee142c9eb0566ac24989561f8,2025-06-27 10:00:10+00:00,TYPE-I
crate,master,006187ad50f256dfb4f1018c01fd54bc2456fd66,5.10,4d0ac298bc694eab4608bf459fff249f82bf1519,2025-06-25 15:44:25+00:00,TYPE-II
crate,master,06f4a8491123c8c38af1a63e39d2120fa3879528,5.10,ebb73c5d5984e5aaa23908ec77837510db5eb734,2025-06-17 14:22:18+00:00,TYPE-I
crate,master,bb4205db375cc17694818cbb88f03dc039a805ce,5.10,02fa4cc72400152e6dd772860031991dfbf2f847,2025-06-13 14:34:04+00:00,TYPE-V
crate,master,bd3219ec49ccabf5a70191a20fba2cadd07ed6ac,5.10,0df5dbcccfe8357ef9d86d38fcee3f24ca409f65,2025-06-13 13:40:31+00:00,TYPE-II
crate,master,39a10a2ffb72f6923d9db6346c0a6003a22536b9,5.10,971b775e58399e3ae9182a031304ff23c899a9f8,2025-06-13 11:02:32+00:00,TYPE-I
crate,master,9ed0b68b5eaf0677f1e202957b0ea8035433fc9e,5.10,5445954ce4469af3734ab14efa88f7bf32961974,2025-06-12 18:59:03+00:00,TYPE-II
